scenario_id,requirement_id,required_concept,expected_gold_citation,gold_citation_resolves,supporting_chunk_ids,support_status,notes
DEV011,REQ2,How the SME-barrier duty relates to the lots decision,Procurement Act 2023 s 12; Guidance: Covered Procurement Objectives (HTML),yes,UKPGA_2023_54__NODEV1__CH_00012; 36b11d7355bdc9e1c194eaf9__36b11d7355bdc9e1c194eaf9__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV012,REQ1,Mandatory duty to set >=3 KPIs on contracts above value threshold,Procurement Act 2023 s 52,yes,UKPGA_2023_54__NODEV1__CH_00052,FULLY_SUPPORTED,
DEV012,REQ2,Exemption where performance could not appropriately be assessed by KPIs,Procurement Act 2023 s 52,yes,UKPGA_2023_54__NODEV1__CH_00052,FULLY_SUPPORTED,
DEV013,REQ1,"Serious breach of a previous public/relevant contract, without need for a court ruling, can be a dis","Procurement Act 2023, Sch 7 para 12",yes,UKPGA_2023_54__NODEV1__CH_00137,FULLY_SUPPORTED,
DEV013,REQ2,The 'excludable supplier' test requires considering whether circumstances are continuing/likely to r,"Procurement Act 2023, s.57(2); Procurement Act 2023, s.58(1)",yes,UKPGA_2023_54__NODEV1__CH_00057; UKPGA_2023_54__NODEV1__CH_00058,FULLY_SUPPORTED,
DEV014,REQ1,Centrally-kept debarment list exists and confers excluded/excludable status distinct from authority',"Procurement Act 2023, s.57(1)(b) and s.57(2)(b); Procurement Act 2023, s.62",yes,UKPGA_2023_54__NODEV1__CH_00057; UKPGA_2023_54__NODEV1__CH_00062,FULLY_SUPPORTED,
DEV014,REQ2,Debarment list populated through Minister-led investigation/report process separate from any individ,"Procurement Act 2023, s.60; Procurement Act 2023, s.61",yes,UKPGA_2023_54__NODEV1__CH_00060; UKPGA_2023_54__NODEV1__CH_00061,FULLY_SUPPORTED,
DEV015,REQ1,"Implied term allows termination where supplier has, post-award, become excluded/excludable, subject ","Procurement Act 2023, s.78(1), (2)(b) and (7)",yes,UKPGA_2023_54__NODEV1__CH_00078,FULLY_SUPPORTED,
DEV015,REQ2,Duty to publish contract termination notice within 30 days of termination.,"Procurement Act 2023, s.80(1)-(2)",yes,UKPGA_2023_54__NODEV1__CH_00080,FULLY_SUPPORTED,
DEV016,REQ1,"Unforeseen-circumstances modification ground, capped at 50% value increase (non-utilities), no chang","Procurement Act 2023, Sch 8 para 4",yes,UKPGA_2023_54__NODEV1__CH_00137,FULLY_SUPPORTED,
DEV016,REQ2,"General 'substantial modification' threshold (term >10%, or material scope/economic-balance change).","Procurement Act 2023, s.74(1) and (3)",yes,UKPGA_2023_54__NODEV1__CH_00074,FULLY_SUPPORTED,
DEV017,REQ1,Mandatory standstill of 8 working days from contract award notice publication.,"Procurement Act 2023, s.51(1)-(2)",yes,UKPGA_2023_54__NODEV1__CH_00051,FULLY_SUPPORTED,
DEV017,REQ2,"Certain contract types exempt from mandatory standstill, voluntary standstill still possible.","Procurement Act 2023, s.51(3)-(5)",yes,UKPGA_2023_54__NODEV1__CH_00051,FULLY_SUPPORTED,
DEV018,REQ1,Legal basis permitting a contracting authority to switch to direct award where a competitive tenderi,"Procurement Act 2023, s.43 (Switching to direct award)",yes,UKPGA_2023_54__NODEV1__CH_00043,FULLY_SUPPORTED,
DEV018,REQ2,Separate transparency obligation before awarding under this route,"Procurement Act 2023, s.44 (Transparency notices)",yes,UKPGA_2023_54__NODEV1__CH_00044,FULLY_SUPPORTED,
DEV019,REQ1,Grounds on which a public contract may be modified without a new procurement procedure,"Procurement Act 2023, s.74",yes,UKPGA_2023_54__NODEV1__CH_00074,FULLY_SUPPORTED,
DEV019,REQ2,Separate pre-modification transparency duty (contract change notice),"Procurement Act 2023, s.75",yes,UKPGA_2023_54__NODEV1__CH_00075,FULLY_SUPPORTED,
DEV020,REQ1,Statutory cap on framework term and exception for longer term,"Procurement Act 2023, s.47(1)-(2)",yes,UKPGA_2023_54__NODEV1__CH_00047,FULLY_SUPPORTED,
DEV020,REQ2,Separate duty to state reasons in tender/transparency notice when relying on longer-term exception,"Procurement Act 2023, s.47(3)",yes,UKPGA_2023_54__NODEV1__CH_00047,FULLY_SUPPORTED,
DEV021,REQ1,Power to carry out PME and fairness safeguard duty,"Procurement Act 2023, s.16",yes,UKPGA_2023_54__NODEV1__CH_00016,FULLY_SUPPORTED,
DEV021,REQ2,Separate transparency duty to publish a PME notice before the tender notice,"Procurement Act 2023, s.17",yes,UKPGA_2023_54__NODEV1__CH_00017,FULLY_SUPPORTED,
DEV022,REQ1,Implied 30-day payment term,"Procurement Act 2023, s.68(2)",yes,UKPGA_2023_54__NODEV1__CH_00068,FULLY_SUPPORTED,
DEV022,REQ2,Separate biannual payments compliance notice duty,"Procurement Act 2023, s.69",yes,UKPGA_2023_54__NODEV1__CH_00069,FULLY_SUPPORTED,
DEV023,REQ1,Anti-avoidance valuation/aggregation rule,"Procurement Act 2023, Sch 3 para 4; Procurement Act 2023, s.4(3)",yes,UKPGA_2023_54__NODEV1__CH_00137; ADDLESHAW_FIRST_PA23_CASE__ADDLESHAW_FIRST_PA23_CASE__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV023,REQ2,Publication duties for a genuinely below-threshold contract,"Procurement Act 2023, s.87(1) and (3)",yes,UKPGA_2023_54__NODEV1__CH_00093,FULLY_SUPPORTED,
DEV024,REQ1,Duty to consider lots before publishing a tender notice,"Procurement Act 2023, s.18",yes,UKPGA_2023_54__NODEV1__CH_00018,FULLY_SUPPORTED,
DEV024,REQ2,Separate rule permitting a cap on lots per supplier with objective selection mechanism,"Procurement Act 2023, s.23(4)",yes,ADDLESHAW_FIRST_PA23_CASE__ADDLESHAW_FIRST_PA23_CASE__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV025,REQ1,Which regime governs modification of a PCR2015-awarded contract with PA2023 now in force.,Procurement Act 2023 (Commencement No. 3 and Transitional and Saving Provisions) Regulations 2024 reg 5,yes,UKSI_2024_716__NODEV1__CH_00001,FULLY_SUPPORTED,
DEV025,REQ2,PCR2015 rule permitting modification via review/options clause.,Public Contracts Regulations 2015 reg 72,yes,UKSI_2015_102__UKSI_2015_102__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV026,REQ1,Whether a below-threshold contract still triggers publication obligations.,"Procurement Act 2023, s.87",yes,UKPGA_2023_54__NODEV1__CH_00093,FULLY_SUPPORTED,
DEV026,REQ2,Anti-avoidance valuation rule.,"Procurement Act 2023, s.4",yes,ADDLESHAW_FIRST_PA23_CASE__ADDLESHAW_FIRST_PA23_CASE__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV027,REQ1,Statutory maximum framework term and whether extendable by agreement.,"Procurement Act 2023, s.47(1)",yes,UKPGA_2023_54__NODEV1__CH_00047,FULLY_SUPPORTED,
DEV027,REQ2,Open framework route not available since must be structured from outset.,"Procurement Act 2023, s.49(1)-(2)",yes,UKPGA_2023_54__NODEV1__CH_00049,FULLY_SUPPORTED,
DEV028,REQ1,Whether mandatory standstill applies to a framework call-off contract.,"Procurement Act 2023, s.51(3)(d)",yes,UKPGA_2023_54__NODEV1__CH_00051,FULLY_SUPPORTED,
DEV028,REQ2,Voluntary standstill still possible for call-off contracts.,"Procurement Act 2023, s.51(4)-(5)",yes,UKPGA_2023_54__NODEV1__CH_00051,FULLY_SUPPORTED,
DEV029,REQ1,PA2023 basis for withholding sensitive commercial information and what authority must still do.,"Procurement Act 2023, s.94",yes,UKPGA_2023_54__NODEV1__CH_00100,FULLY_SUPPORTED,
DEV029,REQ2,"FOIA exemption for actual FOI request, qualified exemption, public interest balance for procurement ","Freedom of Information Act 2000, s.43",yes,UKPGA_2000_36__LEGV2__CH_00001,FULLY_SUPPORTED,
DEV030,REQ1,"Duty to set >=3 KPIs for contracts valued over £5m, and where/how they must be published.",Guidance: Key Performance Indicators (HTML),yes,286eca6148f207c1c2af80e7__286eca6148f207c1c2af80e7__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV030,REQ2,"Ongoing duty to assess performance against KPIs at least every 12 months and on termination, publish",Guidance: Key Performance Indicators (HTML),yes,286eca6148f207c1c2af80e7__286eca6148f207c1c2af80e7__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV031,REQ1,Six-monthly payments compliance notice obligation.,Guidance: Electronic Invoicing and Payment (HTML),yes,ab2bb6ac97b27cb0884e2dde__ab2bb6ac97b27cb0884e2dde__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV031,REQ2,"Separate quarterly duty for payments over £30,000.",Guidance - Contract Payment Information (HTML),yes,3fb9663fbadbd0b081c5e359__3fb9663fbadbd0b081c5e359__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV032,REQ1,Practical steps to avoid unfair advantage/distortion during PME.,Guidance: Preliminary Market Engagement (HTML),yes,3554428ff8d3c1858d246969__3554428ff8d3c1858d246969__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV032,REQ2,Requirement to publish PME notice before tender notice or explain non-publication.,Procurement Act 2023 s 17,yes,UKPGA_2023_54__NODEV1__CH_00017,FULLY_SUPPORTED,
DEV033,REQ1,Duty to consider lots and record reasons if not.,Procurement Act 2023 s 18,yes,UKPGA_2023_54__NODEV1__CH_00018,FULLY_SUPPORTED,
DEV033,REQ2,"Practical options once lots used: limiting lots per supplier, per-lot notice content.",Procurement Act 2023 Guidance Documents collection -- 'Guidance on Lots',yes,1eeaa3026f7519f5c05bb069__1eeaa3026f7519f5c05bb069__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV034,REQ1,Establishment process and notice stages for a dynamic market.,Guidance: Dynamic Markets (HTML),yes,319a078d52abafa6b4cc6880__319a078d52abafa6b4cc6880__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV034,REQ2,Duty/discretion to remove excluded/excludable supplier from dynamic market.,Guidance: Dynamic Markets (HTML),yes,319a078d52abafa6b4cc6880__319a078d52abafa6b4cc6880__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV035,REQ1,Identify the binding statutory mechanism(s) by which a supplier can challenge or suspend the effect ,"Procurement Act 2023, s.63; Procurement Act 2023, s.65",yes,UKPGA_2023_54__NODEV1__CH_00063; UKPGA_2023_54__NODEV1__CH_00065,FULLY_SUPPORTED,
DEV036,REQ1,Identify the binding legal exemption and test that governs whether commercially sensitive tender/pri,"Freedom of Information Act 2000, s.43",yes,UKPGA_2000_36__LEGV2__CH_00001,FULLY_SUPPORTED,
DEV037,REQ1,Identify the binding statutory duty requiring a contracting authority to determine whether a supplie,"Procurement Act 2023, s.27; Procurement Act 2023, s.57",yes,UKPGA_2023_54__NODEV1__CH_00027; UKPGA_2023_54__NODEV1__CH_00057,FULLY_SUPPORTED,
DEV038,REQ1,"Statutory mechanism for switching to direct award after no suitable tenders, under both candidate re","Procurement Act 2023, s.43; Public Contracts Regulations 2015, reg.32(2)(a)",yes,UKPGA_2023_54__NODEV1__CH_00043; UKSI_2015_102__UKSI_2015_102__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV038,REQ2,Transitional/saving rule fixing whether PCR2015 or PA2023 governs.,"Procurement Act 2023 (Commencement No. 3 and Transitional and Saving Provisions) Regulations 2024, reg.5",yes,UKSI_2024_716__NODEV1__CH_00001,FULLY_SUPPORTED,
DEV038,REQ3,Notice(s) required before direct award under whichever regime applies.,"Procurement Act 2023, s.44; Public Contracts Regulations 2015, reg.50",yes,UKPGA_2023_54__NODEV1__CH_00044; UKSI_2015_102__UKSI_2015_102__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV039,REQ1,Distinguish call-off modification from framework term extension.,"Procurement Act 2023, s.45",yes,UKPGA_2023_54__NODEV1__CH_00045,FULLY_SUPPORTED,
DEV039,REQ2,Modification test/limits for call-off contract term extension.,"Procurement Act 2023, s.74(3)-(4); Public Contracts Regulations 2015, reg.72",yes,UKPGA_2023_54__NODEV1__CH_00074; UKSI_2015_102__UKSI_2015_102__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV039,REQ3,Maximum framework term and exception under whichever regime governs.,"Procurement Act 2023, s.47; Public Contracts Regulations 2015, reg.33(3)",yes,UKPGA_2023_54__NODEV1__CH_00047; UKSI_2015_102__UKSI_2015_102__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV040,REQ1,Whether poor performance alone is a statutory termination ground.,"Procurement Act 2023, s.78; Public Contracts Regulations 2015, reg.73",yes,UKPGA_2023_54__NODEV1__CH_00078; UKSI_2015_102__UKSI_2015_102__SEG_0001__CH_001,FULLY_SUPPORTED,
DEV040,REQ2,"Statutory duty to publish poor-performance information, independent of termination.","Procurement Act 2023, s.71(3)-(6)",yes,UKPGA_2023_54__NODEV1__CH_00071,FULLY_SUPPORTED,
DEV040,REQ3,"KPI/publication duties depend on contract value and regime, unspecified in query.","Procurement Act 2023, s.52",yes,UKPGA_2023_54__NODEV1__CH_00052,FULLY_SUPPORTED,
TEST001,REQ1,"Duty to publish a transparency notice before directly awarding a contract without competition, and w","Procurement Act 2023, s.44",yes,UKPGA_2023_54__NODEV1__CH_00044,FULLY_SUPPORTED,
TEST002,REQ1,"If a contract notice was submitted for publication before 24 February 2025, the 2015 Regulations con","Procurement Act 2023 (Commencement No. 3 and Transitional and Saving Provisions) Regulations 2024, reg.5; Public Contracts Regulations 2015, reg.26(8)",yes,UKSI_2024_716__NODEV1__CH_00001; UKSI_2015_102__UKSI_2015_102__SEG_0001__CH_001,FULLY_SUPPORTED,
TEST003,REQ1,"Duty to publish a contract award notice before entering into a public contract, and what it must set","Procurement Act 2023, s.50(1)-(2)",yes,UKPGA_2023_54__NODEV1__CH_00050,FULLY_SUPPORTED,
TEST003,REQ2,"Duty to provide an assessment summary to each supplier that submitted an assessed tender, before the","Procurement Act 2023, s.50(3)-(5)",yes,UKPGA_2023_54__NODEV1__CH_00050,FULLY_SUPPORTED,
TEST004,REQ1,Whether implied 30-day payment terms extend to public sub-contracts,Procurement Act 2023 s 73; Procurement Act 2023 s 68,yes,UKPGA_2023_54__NODEV1__CH_00073; UKPGA_2023_54__NODEV1__CH_00068,FULLY_SUPPORTED,
TEST004,REQ2,Separate statutory right to interest on late qualifying commercial debts,Late Payment of Commercial Debts (Interest) Act 1998 s 1; Late Payment of Commercial Debts (Interest) Act 1998 s 2,yes,UKPGA_1998_20__LEGV2__CH_00001; UKPGA_1998_20__LEGV2__CH_00001,FULLY_SUPPORTED,
TEST005,REQ1,Whether social/labour-related award criteria are permitted and conditions,Procurement Act 2023 s 23; Guidance: Assessing Competitive Tenders (HTML),yes,ADDLESHAW_FIRST_PA23_CASE__ADDLESHAW_FIRST_PA23_CASE__SEG_0001__CH_001; 2a7f4a9e30f42d160e83e115__2a7f4a9e30f42d160e83e115__SEG_0001__CH_001,FULLY_SUPPORTED,
TEST005,REQ2,Central-government mechanism for scoring social value factors,PPN 026: The Social Value Model (HTML),n/a,,UNCERTAIN,"no essential_evidence items; only strong_supporting_evidence present (not essential, out of scope per task def): PPN 026: The Social Value Model (HTML)"
TEST006,REQ1,Whether KPI duty attaches to the framework or to each contract awarded under it,Procurement Act 2023 s 52; Procurement Act 2023 s 45,yes,UKPGA_2023_54__NODEV1__CH_00052; UKPGA_2023_54__NODEV1__CH_00045,FULLY_SUPPORTED,
TEST006,REQ2,Practical confirmation call-off is distinct public contract,procurementportal_part3_pdf_87223cadf7c3,n/a,,UNCERTAIN,"no essential_evidence items; only strong_supporting_evidence present (not essential, out of scope per task def): procurementportal_part3_pdf_87223cadf7c3"
TEST007,REQ1,"Award to most advantageous tender, criteria meeting statutory quality/proportionality requirements.","Procurement Act 2023, s.19(1)-(2); Procurement Act 2023, s.23(2)-(3)",yes,UKPGA_2023_54__NODEV1__CH_00019; ADDLESHAW_FIRST_PA23_CASE__ADDLESHAW_FIRST_PA23_CASE__SEG_0001__CH_001,FULLY_SUPPORTED,
TEST007,REQ2,Duty to publish contract award notice and provide assessment summaries before publication.,"Procurement Act 2023, s.50(1) and (3)",yes,UKPGA_2023_54__NODEV1__CH_00050,FULLY_SUPPORTED,
TEST008,REQ1,Trade secret / commercial prejudice exemption is the legal ground for withholding requested informat,"Freedom of Information Act 2000, s.43(1)-(2)",yes,UKPGA_2000_36__LEGV2__CH_00001,FULLY_SUPPORTED,
TEST008,REQ2,"Practical test for relying on the exemption: case-by-case evidence, not blanket assertion, plus publ","ICO guidance, 'Section 43 - Commercial interests'",yes,CMA_COMPETITION_PUBLIC_AUTHORITIES__CMA_COMPETITION_PUBLIC_AUTHORITIES__SEG_0001__CH_001,FULLY_SUPPORTED,
TEST009,REQ1,Exclusion/excludability arises either through authority's own determination or through debarment-lis,"Procurement Act 2023, s.57(1)-(2)",yes,UKPGA_2023_54__NODEV1__CH_00057,FULLY_SUPPORTED,
TEST009,REQ2,Central debarment process runs on its own separate timeline distinct from authority's own exclusion ,"Procurement Act 2023, s.60(1); Procurement Act 2023, s.62(1)-(3) and (6)",yes,UKPGA_2023_54__NODEV1__CH_00060; UKPGA_2023_54__NODEV1__CH_00062,FULLY_SUPPORTED,
TEST010,REQ1,CFP design constraint barring later-round participation of suppliers who missed round 1 or were excl,"Procurement Act 2023, s.20(4)(c)",yes,ADDLESHAW_FIRST_PA23_CASE__ADDLESHAW_FIRST_PA23_CASE__SEG_0001__CH_001,FULLY_SUPPORTED,
TEST010,REQ2,"Exclusion-check duty before CFP participation, safeguard for associated-person exclusion","Procurement Act 2023, s.27",yes,UKPGA_2023_54__NODEV1__CH_00027,FULLY_SUPPORTED,
TEST011,REQ1,Direct award ground for extreme and unavoidable urgency,"Procurement Act 2023, Sch 5 para 13; Procurement Act 2023, s.41(1)",yes,UKPGA_2023_54__NODEV1__CH_00137; UKPGA_2023_54__NODEV1__CH_00041,FULLY_SUPPORTED,
TEST011,REQ2,Standstill exemption specific to urgency-ground direct awards,"Procurement Act 2023, s.51(3)(a)",yes,UKPGA_2023_54__NODEV1__CH_00051,FULLY_SUPPORTED,
TEST012,REQ1,Voluntary standstill period mechanic tied to a contract change notice,"Procurement Act 2023, s.76",yes,UKPGA_2023_54__NODEV1__CH_00076,FULLY_SUPPORTED,
TEST012,REQ2,Automatic-suspension rule where proceedings commenced/notified during standstill,"Procurement Act 2023, s.101",yes,UKPGA_2023_54__NODEV1__CH_00107,FULLY_SUPPORTED,
TEST013,REQ1,Which regime governs an existing PCR2015 contract for termination purposes.,Procurement Act 2023 (Commencement No. 3 and Transitional and Saving Provisions) Regulations 2024 reg 5,yes,UKSI_2024_716__NODEV1__CH_00001,FULLY_SUPPORTED,
TEST013,REQ2,"PCR2015 termination ground tied to award-time exclusion situation, contrasted with PA2023's broader ",Public Contracts Regulations 2015 reg 73(1)(b) and (3),yes,UKSI_2015_102__UKSI_2015_102__SEG_0001__CH_001,FULLY_SUPPORTED,
TEST014,REQ1,Statutory route to direct award after no suitable tenders and conditions.,"Procurement Act 2023, s.43",yes,UKPGA_2023_54__NODEV1__CH_00043,FULLY_SUPPORTED,
TEST014,REQ2,Transparency notice required before direct award.,"Procurement Act 2023, s.44",yes,UKPGA_2023_54__NODEV1__CH_00044,FULLY_SUPPORTED,
TEST015,REQ1,"Whether formal modification-grounds regime applies to below-threshold, non-convertible contract.","Procurement Act 2023, s.74(1)",yes,UKPGA_2023_54__NODEV1__CH_00074,FULLY_SUPPORTED,
TEST015,REQ2,Exception: modification causing conversion to public contract triggers formal rules.,"Procurement Act 2023, s.74(1)",yes,UKPGA_2023_54__NODEV1__CH_00074,FULLY_SUPPORTED,
TEST016,REQ1,Timing rules for reopening an open framework.,Procurement Act 2023 s 49(2),yes,UKPGA_2023_54__NODEV1__CH_00049,FULLY_SUPPORTED,
TEST016,REQ2,Treatment of existing suppliers when reopened.,Guidance: Frameworks (HTML),yes,0a77f5545238bb80d9a9df16__0a77f5545238bb80d9a9df16__SEG_0001__CH_001,FULLY_SUPPORTED,
TEST017,REQ1,"Ground for switch to direct award where no suitable tenders received, incl. collusion.",Procurement Act 2023 s 43,yes,UKPGA_2023_54__NODEV1__CH_00043,FULLY_SUPPORTED,
TEST017,REQ2,Pre-award exclusion checks and transparency notice.,Procurement Act 2023 s 44,yes,UKPGA_2023_54__NODEV1__CH_00044,FULLY_SUPPORTED,
TEST018,REQ1,'Unforeseeable circumstances' modification ground and value cap.,Procurement Act 2023 Sch 8 para 4,yes,UKPGA_2023_54__NODEV1__CH_00137,FULLY_SUPPORTED,
TEST018,REQ2,Duty to publish contract change notice and content.,Procurement Act 2023 s 75,yes,UKPGA_2023_54__NODEV1__CH_00075,FULLY_SUPPORTED,
TEST019,REQ1,Identify the binding statutory requirement for a contracting authority to observe a standstill perio,"Procurement Act 2023, s.51",yes,UKPGA_2023_54__NODEV1__CH_00051,FULLY_SUPPORTED,
TEST020,REQ1,Confirm which modification regime governs changes now made to a contract that was awarded under the ,"Module 1: Scope, definitions and general principles; Procurement Act 2023 (Commencement No. 3 and Transitional and Saving Provisions) Regulations 2024, reg.5",yes,071f87cb2958be165a94bb8b__071f87cb2958be165a94bb8b__SEG_0001__CH_001; UKSI_2024_716__NODEV1__CH_00001,FULLY_SUPPORTED,
TEST020,REQ2,"Apply the PCR2015 modification test to the proposed ~12% price increase plus new scope, to determine","Public Contracts Regulations 2015, reg.72",yes,UKSI_2015_102__UKSI_2015_102__SEG_0001__CH_001,FULLY_SUPPORTED,
