scope,scenario_id,system,retrieval_operations,planned_subqueries,trace_length,n_errors,error_types,stop_reason,execution_status,elapsed_seconds,n_new_chunks_after_op1,n_new_grade_ge2_after_op1,intervention_added_grade_ge2_value,requirement_coverage,legal_static_requirement_coverage,regression_vs_legal_static
matched_dev,DEV019,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.16,4,2,True,1.0,1.0,False
matched_dev,DEV020,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.59,2,0,False,1.0,1.0,False
matched_dev,DEV021,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.62,5,0,False,1.0,1.0,False
matched_dev,DEV022,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.34,4,3,True,1.0,1.0,False
matched_dev,DEV023,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.86,5,1,True,,,False
matched_dev,DEV024,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.93,4,1,True,1.0,1.0,False
matched_dev,DEV025,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.54,4,1,True,1.0,1.0,False
matched_dev,DEV026,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.7,2,0,False,1.0,1.0,False
matched_dev,DEV027,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.07,2,1,True,1.0,1.0,False
matched_dev,DEV028,planned_multisearch,2,1,2,0,,CONTROLLER_STOP,COMPLETED,1.59,4,3,True,1.0,0.0,False
matched_dev,DEV029,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.29,2,0,False,1.0,1.0,False
matched_dev,DEV030,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.88,3,1,True,1.0,1.0,False
matched_dev,DEV031,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.52,3,2,True,1.0,1.0,False
matched_dev,DEV032,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.96,3,1,True,1.0,1.0,False
matched_dev,DEV033,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.77,2,1,True,1.0,1.0,False
matched_dev,DEV034,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.26,7,5,True,1.0,1.0,False
matched_dev,DEV035,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.03,2,1,True,1.0,1.0,False
matched_dev,DEV036,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.08,3,2,True,1.0,1.0,False
matched_dev,DEV037,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.24,3,3,True,1.0,1.0,False
matched_dev,DEV038,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.12,7,4,True,0.0,0.0,False
matched_dev,DEV039,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.78,3,0,False,0.0,0.0,False
matched_dev,DEV040,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.71,6,1,True,1.0,1.0,False
matched_dev,DEV001,adaptive,2,2,2,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,19.81,2,2,True,0.5,0.5,False
matched_dev,DEV002,adaptive,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,10.3,3,1,True,1.0,0.0,False
matched_dev,DEV003,adaptive,3,2,3,3,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,7.08,2,0,False,0.0,0.0,False
matched_dev,DEV004,adaptive,3,2,3,2,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,12.97,6,1,True,0.0,0.0,False
matched_dev,DEV005,adaptive,1,2,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,4.52,0,0,,1.0,1.0,False
matched_dev,DEV006,adaptive,2,2,2,0,,CONTROLLER_STOP,COMPLETED,6.34,5,1,True,1.0,0.0,False
matched_dev,DEV007,adaptive,1,1,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,4.1,0,0,,0.0,0.0,False
matched_dev,DEV008,adaptive,1,2,1,0,,CONTROLLER_STOP,COMPLETED,5.02,0,0,,,,False
matched_dev,DEV009,adaptive,3,3,3,1,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,9.01,3,2,True,1.0,1.0,False
matched_dev,DEV010,adaptive,3,2,3,3,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,8.02,6,2,True,0.0,0.0,False
matched_dev,DEV011,adaptive,2,3,2,1,Observer cited nonexistent evidence,ESTIMATED_COVERAGE_COMPLETE,COMPLETED_WITH_FALLBACKS,6.91,3,0,False,1.0,1.0,False
matched_dev,DEV012,adaptive,1,1,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,3.5,0,0,,1.0,1.0,False
matched_dev,DEV013,adaptive,3,1,3,1,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,9.92,5,2,True,0.0,1.0,True
matched_dev,DEV014,adaptive,2,2,2,1,Observer cited nonexistent evidence,CONTROLLER_STOP,COMPLETED_WITH_FALLBACKS,7.92,3,1,True,0.0,0.0,False
matched_dev,DEV015,adaptive,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,23.41,6,2,True,,,False
matched_dev,DEV016,adaptive,2,1,2,2,Observer cited nonexistent evidence,CONTROLLER_STOP,COMPLETED_WITH_FALLBACKS,5.35,6,4,True,0.0,1.0,True
matched_dev,DEV017,adaptive,1,3,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,4.45,0,0,,1.0,1.0,False
matched_dev,DEV018,adaptive,3,2,3,1,Observer cited nonexistent evidence,ESTIMATED_COVERAGE_COMPLETE,COMPLETED_WITH_FALLBACKS,13.58,3,2,True,1.0,1.0,False
matched_dev,DEV019,adaptive,2,2,2,1,Observer cited nonexistent evidence,ESTIMATED_COVERAGE_COMPLETE,COMPLETED_WITH_FALLBACKS,6.61,4,3,True,1.0,1.0,False
matched_dev,DEV020,adaptive,1,2,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,4.1,0,0,,1.0,1.0,False
matched_dev,DEV021,adaptive,1,3,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,5.85,0,0,,1.0,1.0,False
matched_dev,DEV022,adaptive,1,2,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,3.84,0,0,,1.0,1.0,False
matched_dev,DEV023,adaptive,3,2,3,3,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,11.74,3,2,True,,,False
matched_dev,DEV024,adaptive,1,2,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,4.84,0,0,,1.0,1.0,False
matched_dev,DEV025,adaptive,1,3,1,0,,CONTROLLER_STOP,COMPLETED,5.36,0,0,,1.0,1.0,False
matched_dev,DEV026,adaptive,1,3,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,3.86,0,0,,1.0,1.0,False
matched_dev,DEV027,adaptive,1,2,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,3.75,0,0,,1.0,1.0,False
matched_dev,DEV028,adaptive,2,3,2,1,Observer cited nonexistent evidence,ESTIMATED_COVERAGE_COMPLETE,COMPLETED_WITH_FALLBACKS,6.56,3,3,True,1.0,0.0,False
matched_dev,DEV029,adaptive,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,10.05,2,0,False,1.0,1.0,False
matched_dev,DEV030,adaptive,3,3,3,2,Observer cited nonexistent evidence,ESTIMATED_COVERAGE_COMPLETE,COMPLETED_WITH_FALLBACKS,15.11,2,2,True,1.0,1.0,False
matched_dev,DEV031,adaptive,3,2,3,3,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,10.6,3,2,True,1.0,1.0,False
matched_dev,DEV032,adaptive,3,3,3,2,Observer changed issue set;Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,8.97,7,4,True,1.0,1.0,False
matched_dev,DEV033,adaptive,3,2,3,1,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,11.52,4,4,True,1.0,1.0,False
matched_dev,DEV034,adaptive,3,3,3,1,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,9.41,5,1,True,0.0,1.0,True
matched_dev,DEV035,adaptive,1,3,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,4.0,0,0,,1.0,1.0,False
matched_dev,DEV036,adaptive,1,2,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,18.24,0,0,,1.0,1.0,False
matched_dev,DEV037,adaptive,3,2,3,3,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,11.12,2,2,True,1.0,1.0,False
matched_dev,DEV038,adaptive,3,3,3,1,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,12.91,7,2,True,0.0,0.0,False
matched_dev,DEV039,adaptive,3,3,3,2,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,12.59,3,0,False,0.0,0.0,False
matched_dev,DEV040,adaptive,3,3,3,3,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,18.24,4,3,True,1.0,1.0,False
matched_test_frozen,TEST001,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,17.51,2,2,True,1.0,1.0,False
matched_test_frozen,TEST002,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,3.17,3,1,True,0.0,1.0,True
matched_test_frozen,TEST003,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.21,2,1,True,0.5,1.0,True
matched_test_frozen,TEST004,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.49,2,1,True,1.0,1.0,False
matched_test_frozen,TEST005,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,1.74,8,4,True,1.0,1.0,False
matched_test_frozen,TEST006,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.34,3,1,True,1.0,0.0,False
matched_test_frozen,TEST007,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.19,2,1,True,,,False
matched_test_frozen,TEST008,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,3.02,3,3,True,1.0,1.0,False
matched_test_frozen,TEST009,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.75,5,1,True,0.0,0.0,False
matched_test_frozen,TEST010,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.89,2,0,False,,,False
matched_test_frozen,TEST011,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.76,4,0,False,1.0,1.0,False
matched_test_frozen,TEST012,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.13,2,1,True,1.0,1.0,False
matched_test_frozen,TEST013,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.61,3,1,True,1.0,0.0,False
matched_test_frozen,TEST014,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.63,7,1,True,0.5,0.0,False
matched_test_frozen,TEST015,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.33,3,2,True,0.0,0.0,False
matched_test_frozen,TEST016,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.54,6,4,True,1.0,1.0,False
matched_test_frozen,TEST017,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.53,6,3,True,,,False
matched_test_frozen,TEST018,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.56,5,3,True,1.0,0.5,False
matched_test_frozen,TEST019,planned_multisearch,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.81,5,4,True,1.0,0.0,False
matched_test_frozen,TEST020,planned_multisearch,3,2,3,0,,BUDGET_EXHAUSTED,COMPLETED,2.83,8,0,False,0.0,0.0,False
matched_test_frozen,TEST001,adaptive,2,3,2,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,23.35,4,2,True,1.0,1.0,False
matched_test_frozen,TEST002,adaptive,3,3,3,1,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,10.95,10,4,True,1.0,1.0,False
matched_test_frozen,TEST003,adaptive,1,2,1,0,,CONTROLLER_STOP,COMPLETED,5.79,0,0,,1.0,1.0,False
matched_test_frozen,TEST004,adaptive,1,2,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,5.07,0,0,,1.0,1.0,False
matched_test_frozen,TEST005,adaptive,3,3,3,2,Observer cited nonexistent evidence,ESTIMATED_COVERAGE_COMPLETE,COMPLETED_WITH_FALLBACKS,19.14,3,1,True,1.0,1.0,False
matched_test_frozen,TEST006,adaptive,1,1,1,0,,CONTROLLER_STOP,COMPLETED,25.62,0,0,,0.0,0.0,False
matched_test_frozen,TEST007,adaptive,3,3,3,1,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,59.88,7,1,True,,,False
matched_test_frozen,TEST008,adaptive,3,3,3,2,Observer cited nonexistent evidence,ESTIMATED_COVERAGE_COMPLETE,COMPLETED_WITH_FALLBACKS,29.79,3,1,True,1.0,1.0,False
matched_test_frozen,TEST009,adaptive,3,3,3,2,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,9.05,10,1,True,0.0,0.0,False
matched_test_frozen,TEST010,adaptive,1,2,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,5.0,0,0,,,,False
matched_test_frozen,TEST011,adaptive,1,2,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,4.4,0,0,,1.0,1.0,False
matched_test_frozen,TEST012,adaptive,1,3,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,4.36,0,0,,1.0,1.0,False
matched_test_frozen,TEST013,adaptive,3,3,3,1,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,9.89,7,0,False,0.0,0.0,False
matched_test_frozen,TEST014,adaptive,2,3,2,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,6.99,5,1,True,1.0,0.0,False
matched_test_frozen,TEST015,adaptive,2,1,2,1,Observer cited nonexistent evidence,ESTIMATED_COVERAGE_COMPLETE,COMPLETED_WITH_FALLBACKS,6.98,3,2,True,0.0,0.0,False
matched_test_frozen,TEST016,adaptive,1,3,1,0,,ESTIMATED_COVERAGE_COMPLETE,COMPLETED,4.41,0,0,,1.0,1.0,False
matched_test_frozen,TEST017,adaptive,3,2,3,1,Observer cited nonexistent evidence,BUDGET_EXHAUSTED,COMPLETED_WITH_FALLBACKS,13.23,4,2,True,,,False
matched_test_frozen,TEST018,adaptive,2,3,2,0,,CONTROLLER_STOP,COMPLETED,7.3,5,4,True,1.0,0.5,False
matched_test_frozen,TEST019,adaptive,2,3,2,1,Observer cited nonexistent evidence,ESTIMATED_COVERAGE_COMPLETE,COMPLETED_WITH_FALLBACKS,8.87,3,2,True,1.0,0.0,False
matched_test_frozen,TEST020,adaptive,3,3,3,0,,BUDGET_EXHAUSTED,COMPLETED,12.86,4,2,True,0.5,0.0,False
